Station Name: PHOENIX PARK,,,,,,,,
Station Height: 48 M ,,,,,,,,
Latitude:53.364  ,,,,,,,,
,,,,,,,,
,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,
soil:  -  Mean 10cm soil temperature (C),,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,
ind:   -  Indicator (i),,,,,,,,
,,,,,,,,
date,maxtp,mintp,igmin,gmin,rain,cbl,soil,Good weather
10-Apr-07,16.1,10.2,0,9.6,0,1017.6,13.13,
11-Apr-07,16.8,7.4,0,8.7,0,1018.4,14.28,
12-Apr-07,17.4,2.8,0,-1.6,0,1016.7,13.4,
13-Apr-07,17.7,4.5,0,0.2,0,1015.4,13.625,
14-Apr-07,19,9.8,0,6.7,0,1016.8,15.28,
15-Apr-07,18.7,9.9,0,7.1,0,1019,15.528,
16-Apr-07,14.9,8.3,0,8.9,0.7,1023,15.932,
17-Apr-07,15.1,5,0,1.5,0,1023.4,14.59,
18-Apr-07,15.5,2.3,0,-2.7,0,1020,14.278,
19-Apr-07,15.9,5.7,0,0,0,1015.8,14.467,
20-Apr-07,18.2,3.3,0,-0.7,0,1013.5,14.203,
21-Apr-07,17.1,10.1,0,5.9,0,1009.8,14.243,
22-Apr-07,20.8,11.8,0,10.2,5.3,1008.1,15.235,
23-Apr-07,16.6,12.6,0,8.1,1.3,1006.2,14.25,
24-Apr-07,19.1,11.4,0,7,0.6,1001.6,14.695,
25-Apr-07,15.2,5.3,0,6.6,0.1,1005.4,15.038,
26-Apr-07,14.3,3.3,0,-1.2,0,1018.5,13.84,
27-Apr-07,14.7,7.4,0,4.9,0,1020.4,15.51,
28-Apr-07,16,9.1,0,5.7,0,1018.4,15.925,
29-Apr-07,16.1,7.7,0,8.1,0,1013.9,15.783,
30-Apr-07,15.2,7.5,0,3.5,0,1010.8,15.688,
01-May-07,17.7,7.1,0,3,0,1009.8,16.155,
02-May-07,16.2,6,0,2,0,1012.3,16.663,
03-May-07,19.3,3.9,0,-0.5,0,1013.7,16.98,
04-May-07,15.4,5.3,0,0.6,0,1013.3,16.865,
05-May-07,20.3,4.8,0,0.3,0,1010.1,16.595,
06-May-07,13.9,10,0,7.6,1.1,1006.2,15.75,
07-May-07,16.4,8.8,0,6.6,0.9,1002.5,15.422,
08-May-07,15.5,7,0,5.4,1.2,1002.4,14.917,
09-May-07,13.9,6.6,0,1.6,1.2,1000.4,13.37,
10-May-07,15.9,8.7,0,3.6,0,992.9,14.255,
11-May-07,14.4,7.5,0,6.7,3.2,991.3,14.342,
12-May-07,16.7,7.5,0,6.6,0.1,993,15.205,
13-May-07,12.6,6.1,0,1.4,0,995.8,14.042,
14-May-07,16.3,5.7,0,2.7,3.2,1002.4,14.733,
15-May-07,13.7,8.5,0,8,1,1005.8,14.37,
16-May-07,15.4,9.4,0,8.3,4,1005.5,14.097,
17-May-07,22.3,13.3,0,12.4,0.2,1006.7,17.385,
18-May-07,16.2,8.6,0,11.8,3,999.7,17.483,
19-May-07,15.8,6.5,0,7.3,1.4,1001,16.757,
20-May-07,15.7,5.1,0,0.7,0,1010.2,16.53,
21-May-07,19.1,3.5,0,-0.3,0.1,1013,16.897,
22-May-07,19.5,8.7,0,4.8,0,1014.5,17.545,
23-May-07,18,10,0,6.7,0,1015.8,17.125,
24-May-07,19.2,11.7,0,12.7,0.2,1010.7,17.79,
25-May-07,15.3,5.9,0,8.5,0,1006,17.715,
26-May-07,14.3,3.6,0,-0.6,5.3,1000.9,15.868,
27-May-07,13.4,6.1,0,5.5,4,1001,14.597,
28-May-07,13.8,4.1,0,3,0.2,1007,14.835,
29-May-07,15.6,1.5,0,-2.9,0,1003.8,15.682,
30-May-07,12.6,2.3,0,-2,1.2,995,13.602,
31-May-07,17.8,7.1,0,2.8,0.6,999,15.283,
01-Jun-07,19.9,5.8,0,1.7,0,1009.6,17.395,
02-Jun-07,17.9,12.9,0,12.3,2.4,1013.6,16.853,
03-Jun-07,16.1,9.7,0,13.3,29.1,1017.4,15.908,
04-Jun-07,17.2,8.5,0,7.4,1,1022.6,14.64,
05-Jun-07,17.8,8.6,0,5.3,0,1020.8,17.28,
06-Jun-07,17.9,7.4,0,3.4,0,1018.1,18.14,
07-Jun-07,18.3,7.3,0,3.5,0,1016.7,19.478,
08-Jun-07,21.4,8.5,0,5.5,0,1015.1,19.94,
09-Jun-07,22.2,9.3,0,5.4,0,1013.8,21.472,
10-Jun-07,21.7,9.6,0,5.4,0,1011.2,21.888,
11-Jun-07,23.5,11.7,0,7.8,0,1009.1,22.182,
12-Jun-07,23,13.9,0,9.6,2.5,1005.1,22.728,
13-Jun-07,18.8,12.6,0,10.8,9.2,999.8,19.5,
14-Jun-07,13.9,11.9,0,10.6,10.7,996.3,16.56,
15-Jun-07,12.4,10.8,0,11.2,11.6,994.9,14.512,
16-Jun-07,13.3,10.1,0,10.1,0.4,996.6,14.538,
17-Jun-07,16.1,9.3,0,9.9,0,998.1,16.03,
18-Jun-07,17.4,7.6,0,4.7,0.7,999.7,15.868,
19-Jun-07,17.6,12.2,0,8.2,15.4,999.4,15.59,
20-Jun-07,17.4,12.4,0,10.1,1.2,996.3,16.14,
21-Jun-07,15.3,12.3,0,10.3,5.8,999.5,15.847,
22-Jun-07,17.5,11.8,0,9.7,51.6,1002.7,15.79,
23-Jun-07,17.1,10.7,0,10.3,7.2,1003,16.64,
24-Jun-07,15.6,9.4,0,10.2,2.3,1000.8,16.595,
25-Jun-07,16.4,8.7,0,7.9,0.3,1004.7,15.555,
26-Jun-07,17.6,8.3,0,5.5,1.4,1006.1,15.165,
27-Jun-07,16.3,6.7,0,9.5,0.9,1001.6,16.398,
28-Jun-07,17.2,5.1,0,2.1,3.2,999.2,14.96,
29-Jun-07,17.9,9.6,0,10.5,2.1,1000.1,17.275,
30-Jun-07,21.5,12.4,0,12.2,5.9,997.2,17.99,
01-Jul-07,20.7,13.9,0,13.3,9.4,989,18.717,
02-Jul-07,19.7,12.3,0,12.6,7.1,991.6,18.767,
03-Jul-07,17.1,11,0,11.3,4.1,993.1,18.25,
04-Jul-07,19.5,10.9,0,10,3.9,1000.2,17.72,
05-Jul-07,20.6,11.9,0,11.8,2.9,998,17.655,
06-Jul-07,19.1,11.4,0,10.4,1.6,1002.5,18.283,
07-Jul-07,19.7,8.9,0,8.9,0.3,1010.2,18.92,
08-Jul-07,18.4,8.4,0,7.4,0.3,1009.8,18.175,
09-Jul-07,16.8,8.3,0,7.1,7.4,1006.8,16.783,
10-Jul-07,17.6,9.5,0,12.4,0.3,1008.3,16.72,
11-Jul-07,19.2,8.1,0,6.7,0.7,1008.8,16.712,
12-Jul-07,20.8,13.6,0,15.8,2,1005.9,18.833,
13-Jul-07,18,12.4,0,13.7,17.4,999,17.002,
14-Jul-07,21,12.3,0,12.7,7.9,1001.2,18.538,
15-Jul-07,17.8,9.5,0,9.1,1.2,1003.8,18.388,
16-Jul-07,21.4,11.5,0,14.5,3.9,999.4,19.288,
17-Jul-07,18.3,10.5,0,7.2,6.5,1002.7,18.028,
18-Jul-07,20.7,10.5,0,7.6,0,1009,19.325,
19-Jul-07,19.6,9.9,0,7,0.4,1012.6,18.568,
20-Jul-07,15.5,11.2,0,8.5,13.2,1011.5,16.557,
21-Jul-07,16.1,11.2,0,11.5,2.7,1008.2,17.045,
22-Jul-07,17.2,9.7,0,7.1,11.1,1001.7,17.18,
23-Jul-07,18.1,8.6,0,6.5,1.3,999.5,17.085,
24-Jul-07,19.8,9.1,0,5.9,1.1,1002.8,17.743,
25-Jul-07,20.7,13.3,0,12.9,0.5,997.3,19.41,
26-Jul-07,18.5,11.9,0,11.8,13.4,993.5,18.222,
27-Jul-07,19.3,10.1,0,9,1.5,1001.8,18.035,
28-Jul-07,18.7,8.8,0,5.7,1.3,1008.2,17.765,
29-Jul-07,18.3,7.9,0,6.1,1.9,1013.8,17.865,
30-Jul-07,20.1,7,0,4.2,0,1017.7,18.032,
31-Jul-07,21.8,8.1,0,5.7,0,1013.5,19.068,
20-Aug-07,17.1,10.1,4, ,13.6,1006.7,15.815,
21-Aug-07,19.5,8.7,0,4.9, ,1016.6,16.035,
22-Aug-07,22.7,11.4,0,8,0,1018.9,18.68,
23-Aug-07,20.9,12.1,0,8.6, ,1018.8,18.278,
24-Aug-07,23.6,12.7,0,9.1,0.1,1021.9,19.132,
25-Aug-07,21.1,13.7,0,12.2,0.1,1023.6,19.522,
26-Aug-07,18.4,10.1,0,7.6,0,1026.2,18.335,
27-Aug-07,17.9,11.1,0,6.4,0,1023.3,17.625,
28-Aug-07,19.3,10.3,0,8.5,0.1,1019.1,17.99,
29-Aug-07,18.4,9.1,0,4.9,0,1019,18.003,
30-Aug-07,19.3,12.8,0,10.6,0.1,1020.2,18.215,
31-Aug-07,19.3,13.9,0,11.8,0,1018.5,18.1,
01-Sep-07,19.8,13.6,0,13.4,0.2,1015.7,18.417,
02-Sep-07,19.9,12.7,0,11.9,1.8,1011.5,17.775,
03-Sep-07,18.7,9.2,0,4.6,0,1018,16.915,
04-Sep-07,19.4,7.3,0,3.8,0,1023.8,16.698,
05-Sep-07,21.3,14.6,0,12.2,0.5,1026.4,18.833,
06-Sep-07,21.5,14.9,0,12.2,0,1028.3,19.083,
07-Sep-07,22.4,11.1,0,13.6,0,1027.3,19.235,
08-Sep-07,17.3,10.1,0,6.4,0,1025.2,17.555,
09-Sep-07,17.3,13.3,0,11.2,0,1021.3,17.642,
10-Sep-07,19.6,8.9,0,11.1,0,1019.3,17.872,
11-Sep-07,19.3,8.1,0,3.9,0,1022.9,16.775,
12-Sep-07, , ,4, ,0, ,17.677,
13-Sep-07,20.2,12.8,4, ,0,1017.2,17.48,
14-Sep-07,16.9,8.1,0,6.2,0.3,1015.8,16.685,
15-Sep-07,19.7,7.4,0,2.7,0,1014.9,16.358,
16-Sep-07,20.5,9.1,0,12.1,1.7,1002.8,17.055,
17-Sep-07,13.6,3.9,0,1.1,0.1,1011.8,13.78,
18-Sep-07,13.9,2.1,0,-2.6,0,1016.5,12.533,
19-Sep-07,19.2,11.5,0,8.1,4.2,1008.2,15.193,
20-Sep-07,17.7,10.4,0,7.2,1.4,1006.1,15.542,
21-Sep-07,15.9,8.1,0,6.3,8.2,1007.7,14.622,
22-Sep-07,18.8,6.2,0,1,0,1009,13.807,
23-Sep-07,18.3,10.6,0,11.9,1,1000.8,16.057,
24-Sep-07,16,8.4,0,5.2,3,999.5,14.465,
25-Sep-07,14.5,5.3,0,6,0.4,1012.8,13.325,
26-Sep-07,12.8,3.6,0,-1.5,0,1022.8,11.108,
27-Sep-07,12.3,2.1,0,-1.5,0,1020.8,11.215,
28-Sep-07,13.7,7.7,0,3.5,2.1,1014.2,12.278,
29-Sep-07,15,10.4,0,10.3,1.1,1010.8,13.318,
30-Sep-07,16.3,7.9,0,9,12.3,1013.8,13.92,
01-Oct-07,17.1,7.9,0,3.1,0,1016.3,13.44,
